# Translation file for the OpenTools Ordernumber Module for Magento
# (C) 2014-2015 Reinhold Kainhofer, Open Tools
#     office@open-tools.net, http://www.open-tools.net/
"Add New Counter", "Neuer Zähler"
"Add New Replacement", "Neue Ersetzung"
"Counter ""Reset""", "Zähler ""zurücksetzen"""
"Counter Name", "Name des Zählers"
"Counter Type", "Art des Zählers"
"Counter increment", "Zähler-Schritt"
"Counter", "Wert"
"Credit Memo Numbers", "Gutschrift-Nummern"
"Current Counter Values", "Aktuelle Zählerwerte"
"Custom counter Name", "Individueller Zahlername"
"Customize Order and Invoice Numbers", "Anpassen der Auftrags-, Rechnungs-, Versand- und Gutschriftsnummern"
"Customize credit memo numbers", "Anpassung der Gutschriftsnummern"
"Customize invoice numbers", "Anpassung der Rechnungsnummern"
"Customize order numbers", "Anpassung der Auftragsnummern"
"Customize shipment numbers", "Anpassung der Lieferungsnummern"
"Format for counter names", "Format für Zahlernamen"
"Format of the credit memo numbers", "Format der Gutschriftsnummern"
"Format of the invoice numbers", "Format der Rechnungsnummern"
"Format of the order numbers", "Format der Auftragsnummern"
"Format of the shipment numbers", "Format der Lieferungsnummern"
"Group #", "Laden #"
"Invoice Numbers", "Rechnungsnummern"
"New counter for each day", "Ein neuer Zähler pro Tag"
"New counter for each month", "Ein neuer Zähler pro Monat"
"New counter for each year", "Ein neuer Zähler pro Jahr"
"Number of digits for the counter", "Ziffernanzahl des Zählers"
"ORDERNUMBER_COUNTERTABLE_WARNING", "Alle Änderungen werden erst durch die Schaltfläche ""Konfig. speichern"" übernommen. Falls in der Zwischenzeit Bestellungen getätigt werden, so werden die geänderten Zähler dennoch überschrieben!"
"ORDERNUMBER_DIGITS_TOOLTIP", "Ein # wird durch den Zähler ersetzt, wobei dieser mit 0 auf die hier festgesetzte Mindestlänge aufgefüllt wird."
"ORDERNUMBER_FORMAT_COMMENT","Hilfe finden Sie auf <a href='http://open-tools.net/documentation/ordernumber-plugin-for-virtuemart.html'>unserer Homepage</a>."
"ORDERNUMBER_FORMAT_TOOLTIP","Testfeld, wobei [...] eine Variable bezeichnet und # durch den Wert des Zählers ersetzt wird. Mögliche Variablen sind (Groß-Kleinschreibung ist egal):<table>
    <tr><td>[year], [year2], [month], [day], [hour], [hour12], [ampm], [minute], [second]</td><td>Aktuelle Zeit, wenn die Bestellung getätigt wird</td></tr>
    <tr><td>[randomDigit<i>n</i>], [randomHex<i>n</i>], [randomHex<i>n</i>], [randomLetter<i>n</i>], [randomULetter<i>n</i>], [randomLLetter<i>n</i>], [randomAlphanum<i>n</i>]</td><td>Zufallsfolgen der Länge <i>n</i> (n=1 wenn nicht angegeben)</td></tr>
    <tr><td>[StoreId]</td><td>Id des aktuellen Ladens</td></tr>
    <tr><td>[OrderNumber], [OrderID]</td><td>Auftragsnummern und interne Kennung (nicht verfügbar im Format der Auftragsnummern)</td></tr>
    <tr><td>[firstname],[lastname], [company], [city], [zip], [postcode], [region], [regioncode], [regionid], [country], [countrycode2], [countrycode3], [countryid]</td><td>Komponenten der Versandadresse</td></tr>
    <tr><td>[shippingfirstname], ...<br/>[billingfirstname], ...</td><td>Komponenten der Versand- bzw. Rechnungsadresse (Felder wie oben, aber mit Präfix)</td></tr>
    <tr><td>[totalitems], [totalquantity]</td><td>Anzahl der verschiedenen Produkte in der Bestellung</td></tr>
    <tr><td>[shippingmethod]</td><td>Interne Bezeichnung der Lieferungsmethode</td></tr></table>"
"ORDERNUMBER_INCREMENT_TOOLTIP", "Zähler-Schritt, um den Mitbewerbern die Bestimmung der Auftragszahlen zu erschweren."
"ORDERNUMBER_RESETFORMAT_COMMENT", "Bei jeder Änderung einer Variable in diesem Format wird ein neuer Zähler benutzt."
"ORDERNUMBER_SCOPE_TOOLTIP","Es können pro Laden oder Webseite verschiedene Zähler benutzt werden. Alternativ können auch alle Läden dieselben Zähler anwenden."
"One counter without reset", "Ein Zähler ohne Reset"
"OpenTools_Ordernumber::Global", "Global"
"OpenTools_Ordernumber::Scope", "Anwendungsbereich"
"Order Number", "Auftragsnummer"
"Order Numbers", "Auftragsnummern"
"Order number", "Auftragsnummer"
"Restore", "Wiederherstellen"
"Scope of the counter", "Gültigkeitsbereich des Zählers"
"Separate counter for each Format Value", "Eigener Zähler für jeden Format-Wert"
"Separate counters for each Store View", "Eigene Zähler für jeden Shop-View"
"Separate counters for each Store", "Eigene Zähler für jeden Laden"
"Separate counters for each Website", "Eigene Zähler für jede Webseite"
"Shipment Numbers", "Lieferungsnummern"
"Store #", "Ansicht #"
"Use all counters across all stores", "In allen Läden dieselben Zähler anwenden"
"Variable Replacements", "Variablenersetzung"
"Website #", "Webseite #"

